type,value,label,remarks
Id Type,NRIC,NRIC,
Id Type,ARMEDFORCES,Armed Force,
Id Type,BRN,BRN,Business Registration Number
Id Type,PASSPORT,Passport,
Id Type,WORKPERMIT,Work Permit,
Id Type,OLDIC,Old IC,
Customer Languages,2,English,
Customer Languages,3,Malay,
Customer Languages,4,Indonesian,
Customer Languages,5,Chinese,
Customer Languages,6,Tamil,
Customer Languages,7,Japanese,
Customer Languages,8,Korean,
Race,1,Malay,
Race,2,Chinese,
Race,3,Indian,
Race,4,Others,
Gender,UNSPECIFIED,Unspecified,Default
Gender,MALE,Male,
Gender,FEMALE,Female,
Marital Status,SINGLE,Single,Default
Marital Status,MARRIED,Married,
Countries,1,AFGHANISTAN,AFGHANISTAN
Countries,2,ALBANIA,ALBANIA
Countries,3,ALGERIA,ALGERIA
Countries,4,AMERICAN SAMOA,AMERICAN SAMOA
Countries,5,ANDORRA,ANDORRA
Countries,6,ANGOLA,ANGOLA
Countries,7,ANTIGUA AND BARBUDA,ANTIGUA AND BARBUDA
Countries,8,AZERBAIJAN,AZERBAIJAN
Countries,9,ARGENTINA,ARGENTINA
Countries,10,AUSTRALIA,AUSTRALIA
Countries,11,AUSTRIA,AUSTRIA
Countries,12,BAHAMAS,BAHAMAS
Countries,13,BAHRAIN,BAHRAIN
Countries,14,BANGLADESH,BANGLADESH
Countries,15,ARMENIA,ARMENIA
Countries,16,BARBADOS,BARBADOS
Countries,17,BELGIUM,BELGIUM
Countries,18,BERMUDA,BERMUDA
Countries,19,BHUTAN,BHUTAN
Countries,20,BOLIVIA,BOLIVIA
Countries,21,BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA
Countries,22,BOTSWANA,BOTSWANA
Countries,23,BRAZIL,BRAZIL
Countries,24,BELIZE,BELIZE
Countries,25,SOLOMON ISLANDS,SOLOMON ISLANDS
Countries,26,"VIRGIN ISLANDS, BRITISH","VIRGIN ISLANDS, BRITISH"
Countries,27,BRUNEI DARUSSALAM,BRUNEI DARUSSALAM
Countries,28,BULGARIA,BULGARIA
Countries,29,MYANMAR,MYANMAR (formerly Burma)
Countries,30,BURUNDI,BURUNDI
Countries,31,BELARUS,BELARUS
Countries,32,CAMBODIA,CAMBODIA
Countries,33,CAMEROON,CAMEROON
Countries,34,CANADA,CANADA
Countries,35,CAPE VERDE,CAPE VERDE
Countries,36,CAYMAN ISLANDS,CAYMAN ISLANDS
Countries,37,CENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLIC
Countries,38,SRI LANKA,SRI LANKA (formerly Ceylon)
Countries,39,CHAD,CHAD (Tchad)
Countries,40,CHILE,CHILE
Countries,41,CHINA,CHINA
Countries,42,TAIWAN,TAIWAN (Chinese Taipei for IOC)
Countries,43,COLOMBIA,COLOMBIA
Countries,44,COMOROS,COMOROS
Countries,45,MAYOTTE,MAYOTTE
Countries,46,"CONGO, REPUBLIC OF","CONGO, REPUBLIC OF"
Countries,47,"CONGO, THE DEMOCRATIC REPUBLIC OF THE","CONGO, THE DEMOCRATIC REPUBLIC OF THE (formerly Zaire)"
Countries,48,COOK ISLANDS,COOK ISLANDS
Countries,49,COSTA RICA,COSTA RICA
Countries,50,CROATIA,CROATIA (Hrvatska)
Countries,51,CUBA,CUBA
Countries,52,CYPRUS,CYPRUS
Countries,53,CZECH REPUBLIC,CZECH REPUBLIC
Countries,54,BENIN,BENIN
Countries,55,DENMARK,DENMARK
Countries,56,DOMINICA,DOMINICA
Countries,57,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC
Countries,58,ECUADOR,ECUADOR
Countries,59,EL SALVADOR,EL SALVADOR
Countries,60,EQUATORIAL GUINEA,EQUATORIAL GUINEA
Countries,61,ETHIOPIA,ETHIOPIA
Countries,62,ERITREA,ERITREA
Countries,63,ESTONIA,ESTONIA
Countries,64,FAEROE ISLANDS,FAEROE ISLANDS
