~~~ NIWA TIDEDA ~~~ JPS 
~~~ LIST ~~~
Source is Site at TEST0003 
1 Item INCREMENTAL From 01/01/2020 to 03/10/2020 
	Rain	Date		Time
	5	200309		000019 
	5	200309		000049 
	5	200309		000119 
	5	200309		000149 
	5	200309		000219 
	5	200309		000249 
	5	200309		000319 
	5	200309		000349 
	5	200309		000419 
	5	200309		000449 
	5	200309		000519 
	5	200309		000549 
	5	200309		000619 
	5	200309		000649 
	5	200309		000719 
	5	200309		000749 
	5	200309		000819 
	5	200309		000849 
	5	200309		000919 
	5	200309		000949 
	5	200309		001019 
	5	200309		001049 
	5	200309		001119 
	5	200309		001149 
	5	200309		001219 
	5	200309		001249 
	5	200309		001319 
	5	200309		001349 
	5	200309		001419 
	5	200309		001449 
	5	200309		001519 
	5	200309		001549 
	5	200309		001619 
	5	200309		001649 
	5	200309		001719 
	5	200309		001749 
	5	200309		001819 
	5	200309		001849 
	5	200309		001919 
	5	200309		001949 
	5	200309		002019 
	5	200309		002049 
	5	200309		002119 
	5	200309		002149 
	5	200309		002219 
	5	200309		002249 
	5	200309		002319 
	5	200309		002349 
	5	200309		002419 
	5	200309		002449 
	5	200309		002519 
	5	200309		002549 
	5	200309		002619 
	5	200309		002649 
	5	200309		002719 
	5	200309		002749 
	5	200309		002819 
	5	200309		002849 
	5	200309		002919 
	5	200309		002949 
	5	200309		003019 
	5	200309		003049 
	5	200309		003119 
	5	200309		003149 
	5	200309		003219 
	5	200309		003249 
	5	200309		003319 
	5	200309		003349 
	5	200309		003419 
	5	200309		003449 
	5	200309		003519 
	5	200309		003549 
	5	200309		003619 
	5	200309		003649 
	5	200309		003719 
	5	200309		003749 
	5	200309		003819 
	5	200309		003849 
	5	200309		003919 
	5	200309		003949 
	5	200309		004019 
	5	200309		004049 
	5	200309		004119 
	5	200309		004149 
	5	200309		004219 
	5	200309		004249 
	5	200309		004319 
	5	200309		004349 
	5	200309		004419 
	5	200309		004449 
	5	200309		004519 
	5	200309		004549 
	5	200309		004619 
	5	200309		004649 
	5	200309		004719 
	5	200309		004749 
	5	200309		004819 
	5	200309		004849 
	5	200309		004919 
	5	200309		004949 
	5	200309		005019 
	5	200309		005049 
	5	200309		005119 
	5	200309		005149 
	5	200309		005219 
	5	200309		005249 
	5	200309		005319 
	5	200309		005349 
	5	200309		005419 
	5	200309		005449 
	5	200309		005519 
	5	200309		005549 
	5	200309		005619 
	5	200309		005649 
	5	200309		005719 
	5	200309		005749 
	5	200309		005819 
	5	200309		005849 
	5	200309		005919 
	5	200309		005949 
	5	200309		010019 
	5	200309		010049 
	5	200309		010119 
	5	200309		010149 
	5	200309		010219 
	5	200309		010249 
	5	200309		010319 
	5	200309		010349 
	5	200309		010419 
	5	200309		010449 
	5	200309		010519 
	5	200309		010549 
	5	200309		010619 
	5	200309		010649 
	5	200309		010719 
	5	200309		010749 
	5	200309		010819 
	5	200309		010849 
	5	200309		010919 
	5	200309		010949 
	5	200309		011019 
	5	200309		011049 
	5	200309		011119 
	5	200309		011149 
	5	200309		011219 
	5	200309		011249 
	5	200309		011319 
	5	200309		011349 
	5	200309		011419 
	5	200309		011449 
	5	200309		011519 
	5	200309		011549 
	5	200309		011619 
	5	200309		011649 
	5	200309		011719 
	5	200309		011749 
	5	200309		011819 
	5	200309		011849 
	5	200309		011919 
	5	200309		011949 
	5	200309		012019 
	5	200309		012049 
	5	200309		012119 
	5	200309		012149 
	5	200309		012219 
	5	200309		012249 
	5	200309		012319 
	5	200309		012349 
	5	200309		012419 
	5	200309		012449 
	5	200309		012519 
	5	200309		012549 
	5	200309		012619 
	5	200309		012649 
	5	200309		012719 
	5	200309		012749 
	5	200309		012819 
	5	200309		012849 
	5	200309		012919 
	5	200309		012949 
	5	200309		013019 
	5	200309		013049 
	5	200309		013119 
	5	200309		013149 
	5	200309		013219 
	5	200309		013249 
	5	200309		013319 
	5	200309		013349 
	5	200309		013419 
	5	200309		013449 
	5	200309		013519 
	5	200309		013549 
	5	200309		013619 
	5	200309		013649 
	5	200309		013719 
	5	200309		013749 
	5	200309		013819 
	5	200309		013849 
	5	200309		013919 
	5	200309		013949 
	5	200309		014019 
