~~~ NIWA TIDEDA ~~~ JPS 
~~~ LIST ~~~
Source is Site at WPKL1000 
1 Item INCREMENTAL From 01/01/2020 to 03/12/2020 
	Rain	Date		Time
	5	200102		130724 
	5	200108		220955 
	5	200108		221016 
	5	200108		221030 
	5	200108		221106 
	5	200108		221121 
	5	200108		221151 
	5	200108		221227 
	5	200108		221428 
	5	200109		112805 
	5	200116		180422 
	5	200116		180508 
	5	200116		180552 
	5	200116		180639 
	5	200116		180719 
	5	200116		180820 
	5	200116		195945 
	5	200116		201224 
	5	200116		202246 
	5	200118		195926 
	5	200118		203346 
	5	200119		004539 
	5	200119		004649 
	5	200119		004707 
	5	200119		004730 
	5	200119		004739 
	5	200119		004754 
	5	200119		004820 
	5	200119		004833 
	5	200119		004845 
	5	200119		004902 
	5	200119		004912 
	5	200119		004923 
	5	200119		004931 
	5	200119		004942 
	5	200119		004958 
	5	200119		005021 
	5	200119		005036 
	5	200119		005102 
	5	200119		005116 
	5	200119		005141 
	5	200119		005155 
	5	200119		005210 
	5	200119		005233 
	5	200119		005246 
	5	200119		005315 
	5	200119		005331 
	5	200119		005355 
	5	200119		005410 
	5	200119		005441 
	5	200119		005516 
	5	200119		005533 
	5	200119		005604 
	5	200119		005635 
	5	200119		005651 
	5	200119		005720 
	5	200119		005749 
	5	200119		005805 
	5	200119		005836 
	5	200119		005919 
	5	200119		010005 
	5	200119		010111 
	5	200119		010154 
	5	200119		010327 
	5	200119		010518 
	5	200119		010653 
	5	200119		010814 
	5	200119		010958 
	5	200119		011159 
	5	200119		011337 
	5	200119		011436 
	5	200119		011623 
	5	200119		011813 
	5	200119		012126 
	5	200119		012605 
	5	200119		113225 
	5	200119		171457 
	5	200119		171606 
	5	200119		171717 
	5	200119		171817 
	5	200119		172409 
	5	200121		162214 
	5	200131		121655 
	5	200204		105545 
	5	200204		105552 
	5	200204		105559 
	5	200204		105606 
	5	200204		105613 
	5	200204		105620 
	5	200204		105627 
	5	200204		105634 
	5	200204		105647 
	5	200204		105654 
	5	200204		105701 
	5	200204		105708 
	5	200204		105715 
	5	200204		105722 
	5	200204		105729 
	5	200204		105736 
	5	200204		105743 
	5	200204		105750 
	5	200204		105757 
	5	200204		105804 
	5	200204		105811 
	5	200204		105818 
	5	200204		105825 
	5	200204		105832 
	5	200204		105839 
	5	200204		105846 
	5	200204		105853 
	5	200204		105900 
	5	200204		105907 
	5	200204		105914 
	5	200204		105921 
	5	200204		105928 
	5	200204		105935 
	5	200204		105942 
	5	200204		105949 
	5	200204		105956 
	5	200204		110003 
	5	200204		110010 
	5	200204		110017 
	5	200204		110024 
	5	200204		110032 
	5	200204		110038 
	5	200204		110045 
	5	200204		110052 
	5	200204		110059 
	5	200204		110106 
	5	200204		110113 
	5	200204		110120 
	5	200204		110127 
	5	200204		110134 
