~~~ NIWA TIDEDA ~~~ JPS 
~~~ LIST ~~~
Source is Site at FWPP0002 
1 Item INCREMENTAL From 10/01/2020 to 10/31/2020 
	Rain	Date		Time
	5	201001		231757 
	5	201001		213825 
	5	201001		213339 
	5	201001		212828 
	5	201001		212435 
	5	201001		211956 
	5	201001		211354 
	5	201001		210927 
	5	201001		210457 
	5	201001		210030 
	5	201001		205532 
	5	201001		204844 
	5	201001		204237 
	5	201001		214257 
	5	201001		214757 
	5	201001		230341 
	5	201001		225548 
	5	201001		225013 
	5	201001		224337 
	5	201001		223538 
	5	201001		222801 
	5	201001		221946 
	5	201001		221146 
	5	201001		220547 
	5	201001		220109 
	5	201001		215607 
	5	201001		215204 
	5	201001		203654 
	5	201001		203114 
	5	201001		073411 
	5	201001		070822 
	5	201001		065211 
	5	201001		064257 
	5	201001		063129 
	5	201001		061726 
	5	201001		055958 
	5	201001		040100 
	5	201001		013457 
	5	201001		013108 
	5	201001		012526 
	5	201001		004956 
	5	201001		180244 
	5	201001		184355 
	5	201001		185419 
	5	201001		202553 
	5	201001		201644 
	5	201001		200842 
	5	201001		200245 
	5	201001		195725 
	5	201001		195157 
	5	201001		194452 
	5	201001		192947 
	5	201001		191912 
	5	201001		191341 
	5	201001		190839 
	5	201001		190327 
	5	201002		112629 
	5	201003		065723 
	5	201003		063746 
	5	201003		061815 
	5	201003		060529 
	5	201003		060115 
	5	201005		162458 
	5	201005		162435 
	5	201005		162423 
	5	201005		162401 
	5	201005		162349 
	5	201005		162327 
	5	201005		162303 
	5	201005		162242 
	5	201005		162227 
	5	201005		162152 
	5	201005		162130 
	5	201005		162118 
	5	201005		162051 
	5	201005		162027 
	5	201005		162525 
	5	201005		162602 
	5	201005		162621 
	5	201005		164303 
	5	201005		164059 
	5	201005		163920 
	5	201005		163818 
	5	201005		163631 
	5	201005		163414 
	5	201005		163216 
	5	201005		163114 
	5	201005		163019 
	5	201005		162923 
	5	201005		162837 
	5	201005		162759 
	5	201005		162726 
	5	201005		162653 
	5	201005		162017 
	5	201005		161958 
	5	201005		160812 
	5	201005		161520 
	5	201005		161448 
	5	201005		161423 
	5	201005		161350 
	5	201005		161315 
	5	201005		161247 
	5	201005		161230 
	5	201005		161204 
	5	201005		161135 
	5	201005		161113 
	5	201005		161039 
	5	201005		161001 
	5	201005		160940 
	5	201005		160901 
	5	201005		161551 
	5	201005		161603 
	5	201005		161947 
	5	201005		161927 
	5	201005		161916 
	5	201005		161858 
	5	201005		161847 
	5	201005		161829 
	5	201005		161818 
	5	201005		161801 
	5	201005		161747 
	5	201005		161728 
	5	201005		161718 
	5	201005		161702 
	5	201005		161651 
	5	201005		161632 
	5	201005		161622 
	5	201007		165710 
	5	201007		165215 
	5	201008		201104 
	5	201010		021451 
	5	201010		021633 
	5	201010		021819 
	5	201010		022224 
	5	201010		022559 
	5	201010		025825 
	5	201010		031448 
	5	201010		032407 
	5	201010		033522 
	5	201010		050607 
	5	201010		021427 
	5	201010		021337 
	5	201010		020012 
	5	201010		020214 
	5	201010		020358 
	5	201010		020507 
	5	201010		020648 
	5	201010		020912 
	5	201010		021040 
	5	201010		021133 
	5	201010		021234 
	5	201010		015642 
	5	201012		235638 
	5	201013		001544 
	5	201013		013954 
	5	201013		050659 
	5	201019		161256 
	5	201019		161214 
	5	201019		161154 
	5	201019		161111 
	5	201019		161036 
	5	201019		160957 
	5	201019		160643 
	5	201019		161436 
	5	201019		161525 
	5	201019		161614 
	5	201019		161712 
	5	201019		161750 
	5	201019		161907 
	5	201019		161955 
	5	201019		162110 
	5	201019		162410 
	5	201019		160457 
	5	201019		160359 
	5	201019		160306 
	5	201019		155246 
	5	201019		155333 
	5	201019		155417 
	5	201019		155440 
	5	201019		155514 
	5	201019		155554 
	5	201019		155614 
	5	201019		155643 
	5	201019		155716 
	5	201019		160220 
	5	201019		160131 
	5	201019		160041 
	5	201019		160019 
	5	201019		155931 
	5	201019		155834 
	5	201019		155737 
	5	201020		004847 
	5	201020		012916 
	5	201021		143123 
	5	201021		143108 
	5	201021		143041 
	5	201021		143013 
	5	201021		143148 
	5	201021		143156 
	5	201021		143230 
	5	201021		143245 
	5	201021		143534 
	5	201021		143619 
	5	201021		145949 
	5	201021		143001 
	5	201021		142936 
	5	201021		142858 
	5	201021		030953 
	5	201021		033219 
	5	201021		034308 
	5	201021		035659 
	5	201021		041142 
	5	201021		043314 
	5	201021		074844 
	5	201021		142610 
	5	201021		142647 
	5	201021		142737 
	5	201021		142833 
	5	201022		081013 
	5	201022		080912 
	5	201022		080808 
	5	201022		080603 
	5	201022		081118 
	5	201022		081151 
	5	201022		081257 
	5	201022		081601 
	5	201022		082119 
	5	201022		082715 
	5	201022		090309 
	5	201022		080323 
	5	201022		075908 
	5	201022		075337 
	5	201022		074350 
	5	201022		074430 
	5	201022		074449 
	5	201022		074532 
	5	201022		074613 
	5	201022		074657 
	5	201022		074726 
	5	201022		074759 
	5	201022		074828 
	5	201022		074844 
	5	201022		074922 
	5	201024		200511 
	5	201024		200239 
	5	201024		194400 
	5	201025		023256 
	5	201025		024003 
	5	201029		164752 
	5	201031		181153 
	5	201031		182757 
	5	201031		185623 
